20
5 8
1 2 10
1 3 2
1 4 10
1 5 4
2 3 9
2 4 3
3 4 6
4 5 9
5 8
1 2 9
1 3 4
1 4 2
1 5 8
2 4 4
2 5 4
3 5 10
4 5 9
5 8
1 2 10
1 3 9
2 3 10
2 4 1
2 5 3
3 4 1
3 5 8
4 5 5
5 8
1 2 3
1 3 8
1 4 9
1 5 8
2 3 9
2 5 1
3 5 6
4 5 3
5 8
1 2 4
1 3 5
1 4 7
1 5 6
2 3 10
2 5 8
3 4 10
4 5 8
6 8
1 3 6
1 4 8
1 5 9
2 4 6
3 6 3
4 5 3
4 6 8
5 6 8
6 10
1 3 10
1 4 7
1 6 3
2 4 6
2 5 8
2 6 6
3 5 5
4 5 2
4 6 2
5 6 5
6 10
1 2 7
1 3 2
1 5 6
2 3 4
2 4 6
2 5 1
3 4 4
3 6 6
4 5 4
4 6 2
6 12
1 2 1
1 3 8
1 4 5
1 6 4
2 4 5
2 5 10
2 6 2
3 4 9
3 6 7
4 5 6
4 6 7
5 6 8
6 12
1 2 9
1 4 9
1 6 7
2 4 8
2 5 3
2 6 1
3 4 2
3 5 10
3 6 10
4 5 2
4 6 7
5 6 8
8 20
1 2 4
1 5 3
1 6 1
1 7 3
2 4 8
2 5 1
2 6 5
2 7 5
2 8 4
3 4 6
3 5 6
3 7 5
3 8 3
4 5 1
4 6 3
4 7 5
4 8 3
5 6 10
6 7 2
6 8 7
8 20
1 2 9
1 3 6
1 5 6
1 6 7
1 7 1
2 3 8
2 4 7
2 5 5
2 6 3
2 7 4
2 8 9
3 4 8
3 6 3
3 7 3
4 5 8
4 6 9
5 7 4
5 8 6
6 8 8
7 8 4
8 25
1 2 1
1 3 5
1 6 2
1 7 6
1 8 4
2 3 8
2 4 9
2 5 9
2 6 5
2 7 10
2 8 2
3 4 6
3 5 9
3 6 10
3 7 1
3 8 1
4 6 10
4 7 4
4 8 8
5 6 4
5 7 4
5 8 8
6 7 10
6 8 1
7 8 7
8 25
1 2 1
1 3 6
1 4 9
1 5 6
1 6 2
1 7 10
1 8 8
2 3 5
2 4 2
2 5 10
2 6 5
2 7 7
2 8 7
3 4 1
3 5 2
3 6 7
3 7 3
3 8 4
4 5 3
4 8 3
5 6 6
5 7 6
5 8 9
6 8 7
7 8 1
10 40
1 2 6
1 3 3
1 4 6
1 7 1
1 8 9
1 10 3
2 3 7
2 4 2
2 5 2
2 6 3
2 7 10
2 8 9
2 10 2
3 4 10
3 5 2
3 6 2
3 7 3
3 8 6
3 9 2
3 10 6
4 5 10
4 6 8
4 7 6
4 8 7
4 9 5
4 10 4
5 6 1
5 7 3
5 8 7
5 9 10
5 10 7
6 7 6
6 8 1
6 9 2
6 10 7
7 8 10
7 9 9
8 9 9
8 10 2
9 10 5
10 40
1 2 6
1 3 1
1 4 3
1 5 9
1 6 6
1 7 8
1 9 10
1 10 5
2 4 3
2 5 5
2 6 4
2 7 3
2 8 5
2 9 1
2 10 8
3 5 10
3 6 9
3 7 10
3 8 4
3 9 1
3 10 9
4 5 9
4 6 3
4 7 3
4 8 8
5 6 7
5 7 3
5 8 8
5 9 10
5 10 3
6 7 6
6 8 8
6 9 10
6 10 8
7 8 8
7 9 2
7 10 6
8 9 3
8 10 6
9 10 6
20 70
1 9 17
1 10 8
1 13 2
1 14 14
2 3 1
2 4 8
2 7 1
2 8 20
2 9 6
2 14 17
2 16 2
2 20 19
3 6 5
3 8 19
3 9 17
3 12 5
3 14 18
4 6 5
4 8 18
4 9 12
4 15 12
4 19 1
5 8 15
5 9 8
5 13 13
5 15 11
5 18 13
5 20 5
6 7 6
6 8 3
6 12 10
6 16 19
7 12 18
7 16 18
7 17 2
7 18 10
7 19 5
8 10 6
8 11 16
8 12 10
8 13 1
8 17 13
8 18 1
8 19 18
9 10 17
9 16 7
9 19 4
9 20 14
10 12 13
10 14 14
10 16 18
10 17 5
10 18 9
11 12 18
11 16 6
11 17 10
11 18 19
11 20 10
12 16 18
12 17 19
13 14 2
13 15 17
13 19 6
14 17 5
14 19 11
15 18 17
15 19 17
16 19 7
18 20 15
19 20 18
20 70
1 3 12
1 8 10
1 10 18
1 14 20
1 16 8
1 18 8
1 20 4
2 5 10
2 6 9
2 7 16
2 10 5
2 15 5
3 6 1
3 8 1
3 9 17
3 12 20
3 15 18
3 17 20
3 18 9
3 20 11
4 6 5
4 9 20
4 12 19
4 15 9
4 18 7
4 19 20
4 20 12
5 8 12
5 9 6
5 11 19
5 14 2
5 16 4
5 18 19
6 7 18
6 10 10
6 12 3
6 13 12
6 16 3
6 17 6
7 12 5
7 13 17
7 15 12
8 12 17
8 17 14
8 18 12
8 20 16
9 10 18
9 14 10
9 18 1
10 13 15
10 14 3
10 16 1
10 18 14
11 12 12
11 18 3
11 19 14
11 20 2
12 16 12
12 17 4
12 20 10
13 14 11
13 16 1
13 17 9
13 20 1
14 15 9
14 19 12
14 20 4
16 18 3
17 20 7
19 20 20
30 100
1 8 5
1 9 17
1 13 1
1 19 1
1 20 14
1 26 18
2 4 13
2 6 11
2 9 5
2 23 8
2 24 1
3 4 5
3 7 12
3 9 18
3 15 1
3 20 7
4 15 19
4 17 14
4 19 1
4 21 20
4 26 7
5 14 6
5 15 11
5 20 19
5 23 20
5 24 6
6 7 4
6 13 15
6 18 16
6 21 3
6 26 15
6 27 5
7 8 12
7 10 12
7 11 18
7 16 9
7 25 17
7 27 10
7 29 4
8 10 11
8 16 11
8 20 9
8 22 15
8 23 9
8 27 8
8 28 6
9 13 8
9 15 19
9 16 14
9 18 14
9 20 6
9 22 3
9 29 17
10 20 16
10 21 16
10 27 8
10 28 7
11 14 2
11 16 9
11 17 11
11 21 18
11 26 6
11 27 15
11 30 8
12 14 2
12 16 9
12 17 6
12 25 7
12 29 4
13 16 10
13 26 5
14 17 9
14 20 18
14 24 13
14 25 7
15 16 9
15 17 3
15 18 4
15 25 18
15 26 11
15 28 19
15 29 16
16 19 13
16 24 12
17 20 11
17 29 15
18 22 5
18 29 5
18 30 11
19 30 11
20 26 15
21 28 6
22 23 16
23 25 19
23 28 6
24 30 7
25 27 14
25 29 11
27 30 2
28 30 1
30 100
1 3 10
1 6 11
1 7 8
1 11 12
1 15 4
1 19 16
1 20 13
1 30 4
2 8 14
2 26 16
2 28 10
3 9 13
3 12 13
3 25 9
4 7 15
4 9 4
4 16 3
4 21 13
4 26 18
5 9 13
5 16 1
5 28 17
6 8 15
6 9 10
6 11 11
6 13 13
6 16 14
6 20 18
6 21 16
6 27 5
7 8 13
7 14 12
7 15 3
7 16 2
7 20 12
7 24 20
7 29 15
7 30 19
8 11 3
8 12 19
8 18 17
8 21 3
8 22 18
8 23 17
8 27 15
9 15 7
9 16 13
9 17 20
9 19 14
9 27 1
10 11 17
10 13 8
10 16 14
10 18 15
10 22 14
11 14 14
11 20 14
12 14 3
12 15 2
12 16 14
12 22 17
12 26 4
12 30 10
13 14 15
13 17 15
13 29 8
